zip_code,devices,households
78213,1516,1072
78215,14,7
78216,1449,1184
78217,103,94
78218,608,469
78219,533,379
78229,275,237
78230,164,131
78231,187,156
78232,206,169
78233,30,12
78238,321,270
78240,1037,859
78244,132,91
78251,434,354
78254,80,71
78404,862,654
78411,2839,2011
78412,3704,2729
78413,4298,3035
78414,4116,2943
78415,2995,2142
78416,634,445
78417,234,166
78418,3571,2556
78610,322,218
78613,15,3
78626,4781,3094
78628,8057,4734
78633,8967,5366
78634,589,346
78641,3488,2069
78660,6928,4126
78664,140,105
78666,4153,3227
78681,442,360
78701,37,14
78702,1251,915
78703,994,672
78704,168,141
78705,710,534
78712,71,32
78717,410,371
78721,512,376
78722,421,348
78723,1508,1119
78724,147,98
78727,40,18
78728,188,159
78729,192,142
78731,88,71
78733,5,1
78735,83,72
78741,158,141
78744,587,419
78745,448,378
78746,32,10
78751,679,582
78752,607,508
78753,634,528
78756,427,335
78757,647,510
78758,168,144
78759,101,93
79015,4440,2801
79016,3,1
79072,5442,3529
79088,928,648
79095,132,103
79101,567,382
79102,2324,1546
79103,2491,1619
79104,1178,807
79106,8318,5434
79107,4828,3382
79108,2087,1273
79109,15584,9569
79110,5485,3490
79111,364,222
79118,5810,3382
79119,6371,3414
79121,2786,1580
79124,2729,1421
79201,405,329
79235,620,419
79325,285,190
79356,715,458
79363,942,447
79382,1429,677
79401,1336,866
79403,2371,1328
79404,1429,832
79406,287,273
79407,4235,2274
79409,32,9
79410,2118,1252
79411,1226,765
79412,3111,1814
79413,5593,3041
79414,4511,2835
79415,2787,1794
79416,7855,4430
79423,9251,4582
79424,14346,6772
79511,314,168
79526,85,50
79549,4132,2488
79556,3250,2057
79562,107,49
79563,244,154
79601,4015,2652
79602,5281,3038
79603,5741,3570
79605,9097,5517
79606,8386,4854
79607,657,417
79701,7569,4490
79703,5838,3571
79705,12285,6749
79706,3757,2006
79707,12725,6920
79711,7,2
79712,5,2
79714,4762,2642
79720,7682,4593
79745,432,300
79756,616,445
79761,4207,2933
79762,6458,4512
79763,1867,1272
79764,686,487
79765,1714,1233
79766,28,11
79772,469,370
83520,4,4
83522,5,5
83530,61,54
83536,31,26
83537,1,1
83544,236,181
83810,2,1
83837,319,239
83839,111,82
83849,237,158
83850,195,157
83858,134,109
83861,78,55
83867,87,64
83868,92,75
83869,60,50
83873,209,172
85328,7,4
85334,100,84
85344,2009,1400
85541,4296,3072
85544,506,389
86001,5562,4035
86004,6357,4459
86011,20,20
86017,428,347
86043,1,1
86322,623,428
86326,513,356
86335,198,135
86336,2705,1906
86342,3,2
86351,1433,980
86401,3804,2528
86403,4491,3228
86404,4162,2789
86406,6047,4067
86409,4689,3169
86426,2332,1522
86429,1840,1245
86440,626,392
86442,6153,4317
88101,9333,6255
88103,2,2
88135,175,113
92225,1036,832
92242,580,382
92267,42,31
93513,370,255
93514,2134,1535
93526,89,62
93529,230,190
93546,4874,3657
94142,3,2
94545,4,3
95346,3,1
95501,5518,3748
95503,7072,4611
95519,4745,3107
95521,3363,2406
95524,449,288
95525,398,280
95528,122,84
95536,591,405
95540,3527,2370
95547,359,236
95549,1,1
95551,238,152
95562,836,570
95564,92,54
95565,190,115
95570,776,504
95602,1728,962
95603,3,2
95703,93,52
95713,356,208
95717,2,2
95722,751,417
95736,123,74
95945,44,25
95949,1657,959
96141,245,167
96142,638,436
96145,720,482
96146,66,50
96160,4,3
96161,7371,4851
96162,2,1
97701,27984,13564
97702,22709,10053
97707,11678,3656
97756,15193,6364
97759,5641,2469
97760,707,308
99501,9943,5652
99502,12705,6064
99503,8130,4357
99504,20762,9990
99505,3180,1396
99506,5760,2657
99507,18790,9285
99508,15810,8022
99513,43,12
99515,12109,5366
99516,11126,4499
99518,5805,2829
99559,2038,1153
99567,3511,1587
99574,1328,655
99577,11465,5141
99587,1197,645
99603,1505,659
99611,2879,1553
99615,5429,2400
99645,5718,2621
99654,11422,5308
99664,2775,1337
99669,2923,1524
99686,2236,962
99701,7957,4025
99702,2046,1135
99703,2617,1228
99705,6515,3035
99709,7361,3717
99712,2215,1042
99723,2663,1146
99731,347,228
99752,1291,607
99762,2150,1182
99801,16092,7503
99820,136,59
99824,966,539
99833,1756,941
99835,3668,1889
99901,4686,2250
99929,1091,551
TOTAL,2752091,1677153
